PeopleID	FullName	FullNameReversed	VIAFURL	WikipediaURL	WikipediaImageURL
betzkivani000292	Ivan Ivanovich Betzky	Betzky, Ivan Ivanovich	http://viaf.org/27125233/		
biancgiova000294	Giovanni Paolo Simone Bianchi	Bianchi, Giovanni Paolo Simone	http://viaf.org/2460511/		
biancisido024492	Isidoro Bianchi	Bianchi, Isidoro	http://viaf.org/63996340/		
bicqucharl000890	Charles François de Bicquilley	Bicquilley, Charles François de	http://viaf.org/66563445/		
bielfjacob003467	Jacob Friedrich von Bielfeld	Bielfeld, Jacob Friedrich von	http://viaf.org/41904707/		
bielknilsa024840	Greve Nils Adam Bielke	Bielke, Greve Nils Adam	http://viaf.org/77137710/		
bignojeanp000301	Jean Paul Bignon	Bignon, Jean Paul	http://viaf.org/29581678/	http://en.wikipedia.org/wiki/Jean-Paul_Bignon	
bignojerom023690	Jérôme Frédéric Bignon	Bignon, Jérôme Frédéric	http://viaf.org/160905490/		
bindljames004589	James Bindley	Bindley, James	http://viaf.org/121937048/		
binghwilli000304	William Bingham	Bingham, William	http://viaf.org/47140944/	http://en.wikipedia.org/wiki/William_Bingham	http://upload.wikimedia.org/wikipedia/commons/4/4e/WilliamBingham.jpg
birchthoma000307	Thomas Birch	Birch, Thomas	http://viaf.org/4956694/	http://en.wikipedia.org/wiki/Thomas_Birch	http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Thomas_Birch.jpg/200px-Thomas_Birch.jpg
birdfranc0004943	Francis Bird	Bird, Francis	http://viaf.org/96274238/	http://en.wikipedia.org/wiki/Francis_Bird	http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Francis_Bird_miniature.png/220px-Francis_Bird_miniature.png
bissecharl004290	Charles Bisset	Bisset, Charles	http://viaf.org/32387501/		
bitaupaulj023688	Paul Jérémie Bitaubé	Bitaubé, Paul Jérémie	http://viaf.org/73965562/		
bjornjacob023687	Jacob Jonas Björnståhl	Björnståhl, Jacob Jonas	http://viaf.org/35255498/		
blackburne005401	Francis Blackburne	Blackburne, Francis	http://viaf.org/61576767/	http://en.wikipedia.org/wiki/Francis_Blackburne_(archdeacon)	
blackjohn0003766	John Black	Black, John	http://viaf.org/32335626/	http://en.wikipedia.org/wiki/John_Black_(journalist)	
blackjosep000308	Joseph Black	Black, Joseph	http://viaf.org/61680535/	http://en.wikipedia.org/wiki/Joseph_Black	http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Joseph_Black_b1728.jpg/230px-Joseph_Black_b1728.jpg
blackthoma000311	Thomas Blacklock	Blacklock, Thomas	http://viaf.org/76169600/	http://en.wikipedia.org/wiki/Thomas_Blacklock	http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/ThomasBlacklock.jpg/220px-ThomasBlacklock.jpg
blackthoma000313	Thomas Blackwell	Blackwell, Thomas	http://viaf.org/3399581/		
blackwilli000312	Sir William Blackstone	Blackstone, Sir William	http://viaf.org/39385957/	http://en.wikipedia.org/wiki/William_Blackstone	http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Sir_William_Blackstone_from_NPG.jpg/220px-Sir_William_Blackstone_from_NPG.jpg
blaeujohan004540	Johan Blaeu	Blaeu, Johan	http://viaf.org/41887929/	http://en.wikipedia.org/wiki/Joan_Blaeu	http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Joan_Blaeu_%28J.van_Rossum%29.jpg/200px-Joan_Blaeu_%28J.van_Rossum%29.jpg
blaeupiete004541	Pieter Blaeu	Blaeu, Pieter	http://viaf.org/116024/		
blaincharl023782	Charles Henri Blainville	Blainville, Charles Henri	http://viaf.org/100298078/		
blairhugh0000315	Hugh Blair	Blair, Hugh	http://viaf.org/54309971/	http://en.wikipedia.org/wiki/Hugh_Blair	http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Hugh_Blair.jpg/220px-Hugh_Blair.jpg
blairjames004697	James Blair	Blair, James	http://viaf.org/37302562/	http://en.wikipedia.org/wiki/James_Blair_(Virginia)	http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/James_Blair.jpg/200px-James_Blair.jpg
blakejohn0005402	John Blake	Blake, John	http://viaf.org/54067690/		
blancjean0000320	Jean Blanchet	Blanchet, Jean	http://viaf.org/5070547/		
blandtheod024911	Theodorick Bland	Bland, Theodorick	http://viaf.org/40932586/	http://en.wikipedia.org/wiki/Theodorick_Bland_(congressman)	http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Theodorick_Bland.jpg/200px-Theodorick_Bland.jpg
blavejeanl000322	Jean Louis Blavet	Blavet, Jean Louis	http://viaf.org/29566376/		
blindadrie000323	Adrien Michel Hyacinthe Blin de Sainmore	Blin de Sainmore, Adrien Michel Hyacinthe	http://viaf.org/7438966/		
blouncharl004542	Charles Blount	Blount, Charles	http://viaf.org/59242131/	http://en.wikipedia.org/wiki/Charles_Blount_(deist)	
blounteres004946	Teresa Blount	Blount, Teresa	http://viaf.org/137987444/		
boccopaolo025682	Paolo Silvio Boccone	Boccone, Paolo Silvio	http://viaf.org/12293491/	http://en.wikipedia.org/wiki/Paolo_Boccone	http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Paolo_Boccone.jpg/220px-Paolo_Boccone.jpg
bodinfelix003768	Félix Bodin	Bodin, Félix	http://viaf.org/116371130/		
bodmejohan000331	Johann Jakob Bodmer	Bodmer, Johann Jakob	http://viaf.org/34498833/	http://en.wikipedia.org/wiki/Johann_Jakob_Bodmer	http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Johann_Heinrich_F%C3%BCssli_012.jpg/220px-Johann_Heinrich_F%C3%BCssli_012.jpg
boielmarie000329	Marie Jacques Amand Boïeldieu	Boïeldieu, Marie Jacques Amand	http://viaf.org/63996258/		
boisajeanj000337	Jean Jacques François Marin Boisard	Boisard, Jean Jacques François Marin	http://viaf.org/61680094/		
boissfranc023683	François Antoine Boissy d'Anglas	Boissy d'Anglas, François Antoine	http://viaf.org/36956606/	http://en.wikipedia.org/wiki/François_Antoine_de_Boissy_d'Anglas	
boisslouis002217	Louis de Boissy	Boissy, Louis de	http://viaf.org/51711644/	http://en.wikipedia.org/wiki/Louis_de_Boissy	http://upload.wikimedia.org/wikipedia/commons/1/18/Louis_de_Boissy.jpg
bolevsimon003769	Simón Bolívar	Bolívar, Simón	http://viaf.org/35731693/	http://en.wikipedia.org/wiki/Simón_Bolívar	
bonapnapol023248	Napoléon Bonaparte	Bonaparte, Napoléon	http://viaf.org/106964661/	http://en.wikipedia.org/wiki/Napoleon_I	http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Jacques-Louis_David_-_The_Emperor_Napoleon_in_His_Study_at_the_Tuileries_-_Google_Art_Project.jpg/200px-Jacques-Louis_David_-_The_Emperor_Napoleon_in_His_Study_at_the_Tuileries_-_Google_Art_Project.jpg
boncepierr000342	Pierre François Boncerf	Boncerf, Pierre François	http://viaf.org/59079249/		
bondphine0024660	Phineas Bond	Bond, Phineas	http://viaf.org/21708402/		
bonescesar001304	Cesare Bonesana, marchese di Beccaria	Bonesana, Cesare, marchese di Beccaria	http://viaf.org/71387114/	http://en.wikipedia.org/wiki/Cesare_Beccaria	http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Cesare_Beccaria_1738-1794.jpg/220px-Cesare_Beccaria_1738-1794.jpg
bonnecharl000348	Charles Bonnet	Bonnet, Charles	http://viaf.org/54156589/	http://en.wikipedia.org/wiki/Charles_Bonnet	http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/CharlesBonnet.jpg/220px-CharlesBonnet.jpg
