PeopleID	FullName	WikipediaURL	VIAFURL	KnowledgeNetwork	SocialNetwork	ProfessionalNetwork	ReligiousNetwork	Gender	Nationality
swiftjane0005579	Miss Jane Swift					Domestic		Female	Irish
swiftjonat003267	Jonathan Swift	http://en.wikipedia.org/wiki/Jonathan_Swift	http://viaf.org/14777110/	Letters_Literary, Political economy	Government	Artist		Male	Irish
swiftjonat005580	Mrs Abigail Swift							Female	Irish
swiftthoma005631	Rev. Thomas Swift						Clergy	Male	Irish
swiftwilli005581	William Swift							Male	Irish
swintjohn0003268	Sir John Swinton				Government			Male	Scottish
swinton000024739	Mr — Swinton							Male	unknown
swintsamue023093	Samuel Swinton			Letters_Literary	Military	Maritime, Cultural		Male	Scottish
sydenthoma004875	Thomas Sydenham	http://en.wikipedia.org/wiki/Thomas_Sydenham	http://viaf.org/44357385/			Medical		Male	English
symesthoma004876	Thomas Symes					Legal		Male	English
symnemiles025676	Major Miles Symner					Academic	Clergy	Male	Irish
symonjohn0004014	John Symonds			Letters_Literary				Male	English
symonsamue025412	Samuel Symonds							Male	American
sympsricha005583	Richard Sympson [Jonathan Swift, Irish poet, satirist]							Male	Irish
syngeedwar024138	Edward Synge, archbishop of Tuam		http://viaf.org/46995475/				Clergy	Male	Irish
syngenicho005465	Nicholas Synge, bishop of Killaloe		http://viaf.org/29410619/				Clergy	Male	Irish
taafejames025723	Rev. James Taafe						Catholic, Clergy	Male	Irish
tabarjeanf003273	Jean François René Tabareau				Government			Male	French
taboulouis003274	Louis Gabriel Taboureau Des Réaux		http://viaf.org/49032942/					Male	French
tae0000000004877	T. A. E.							Female	unknown
talbocathe005681	Catherine Talbot	http://en.wikipedia.org/wiki/Catherine_Talbot	http://viaf.org/1087214/					Female	English
talboricha003276	Richard Talbot, 1st earl of Tyrconnell				Elite, Military, Government			Male	Scottish
tallefranc025253	Rev. Francis Tallents						Clergy	Male	English
tallegabri001214	Gabriel Marie de Talleyrand, comte de Périgord							Male	French
talmafranc023092	François Joseph Talma	http://en.wikipedia.org/wiki/François-Joseph_Talma	http://viaf.org/54253906/			Artist, Cultural		Male	French
tannealexa003277	Alexandre Tannevot		http://viaf.org/32127994/	Letters_Literary		Artist, Cultural		Male	French
tannyphili004581	Philip Tanny				Government		Clergy	Male	English
tanucberna004524	marchese Bernardo Tanucci	http://en.wikipedia.org/wiki/Bernardo_Tanucci	http://viaf.org/61560047/					Male	Italian
tarade0000024144	— Tarade					Legal		Male	French
tardibarth024963	Barthélémi Tardiveau		http://viaf.org/215289627/		Government	Trade-merchant		Male	French
tardifranc023090	François Alexandre Tardiveau							Male	French
tardyjosep003279	Joseph Tardy					Artisan		Male	French
targeguije003281	Gui Jean Baptiste Target		http://viaf.org/218552029/		Government	Legal		Male	French
targejeanb003280	Jean Baptiste Targe		http://viaf.org/64436469/	Letters_Literary, Sciences_Mathematical		Artisan		Male	French
tascher000003271	— Täscher							Male	unknown
tassone000024548	— Tassone							Male	Italian
tatamjohn0004878	Rev. John Tatam						Clergy	Male	English
tathaedwar003283	Edward Tatham	http://en.wikipedia.org/wiki/Edward_Tatham	http://viaf.org/60507947/	Letters_Religious		Academic		Male	English
taubeevert024541	Baron Evert Vilhelm Taube				Military			Male	Swedish
taubenheim024287	M. — Taubenheim				Government			Male	German
taulepierr001216	Pierre de Taulès							Male	French
tauxelouis023089	Louis Emmanuel Tauxe				Government	Legal		Male	Swiss
taveletien024410	Étienne Sigismond de Tavel				Military			Male	Swiss
tavelfrede023088	Frédéric Salomon de Tavel				Government	Academic		Male	Dutch
taveljacqu023087	Jacques François de Tavel							Male	Swiss
tavistock0005215	Francis Russell, 7th duke of Bedford	http://en.wikipedia.org/wiki/Francis_Russell,_7th_Duke_of_Bedford	http://viaf.org/88439707/					Male	English
tay0000000024057	M. — Taÿ							Male	French
tayloarthu004015	Arthur Taylor					Publishing		Male	English
taylojohn0003284	John Taylor							Male	English
taylojohn0003717	John Taylour				Elite, Government			Male	English
taylojohn0005753	John Taylor	http://en.wikipedia.org/wiki/John_Taylor_(civil_engineer)	http://viaf.org/50007650/			Trade-merchant, Publishing		Male	English
taylojohn0025747	John Taylor							Male	English
tayloricha005268	Richard Taylor			Sciences_Natural		Trade-merchant, Publishing		Male	English
tayloricha025233	Richard Taylor	http://en.wikipedia.org/wiki/Richard_Taylor_(editor)	http://viaf.org/14779546/					Male	English
taylorober024309	Robert Taylor		http://viaf.org/27053489/			Medical		Male	English
taylowilli005269	William Taylor			Letters_Literary	Government	Cultural, Trade-merchant		Male	English
taylowilli024995	William Taylor							Male	American
teedosamue017237	Samuel Teedon			Letters_Religious		Academic		Male	English
telekjosep003285	József Teleki, count of Szek			Sciences	Elite			Male	Hungarian
telfaedwar024639	Edward Telfair	http://en.wikipedia.org/wiki/Edward_Telfair	http://viaf.org/45848541/		Government	Trade-merchant		Male	American
templann00024742	Ann Temple						Clergy	Female	English
templfranc023206	Frances Temple, Viscountess Palmerston							Female	English
templhenry003287	Henry Temple, 2nd Viscount Palmerston	http://en.wikipedia.org/wiki/Henry_Temple,_2nd_Viscount_Palmerston	http://viaf.org/815569/		Government			Male	English
templhenry024588	Henry Temple, 1st Viscount Palmerston				Government			Male	Irish
templjohn0005584	John Temple							Male	English
templjohn0024636	Sir John Temple		http://viaf.org/71238666/					Male	American
templricha003288	Sir Richard Temple, 3rd baronet		http://viaf.org/53104751/					Male	English
templricha004962	Richard Temple, 1st Viscount Cobham		http://viaf.org/172323067/		Military, Government			Male	English
templwilli004113	William Johnston Temple		http://viaf.org/71558154/	Letters_Literary			Clergy	Male	Scottish
templwilli005585	Sir William Temple, baronet	http://en.wikipedia.org/wiki/Sir_William_Temple,_1st_Baronet	http://viaf.org/120156167/	Letters_Literary				Male	English
tenisthoma003289	Thomas Tenison, archbishop of Canterbury	http://en.wikipedia.org/wiki/Thomas_Tenison	http://viaf.org/69084741/				Clergy	Male	English
tercijeanp024102	Jean Pierre Tercier			Letters_Literary	Government			Male	French
ternaguill004016	Guillaume Louis Ternaux		http://viaf.org/37219366/			Trade-merchant		Male	French
terrajosep003290	Joseph Marie Terray	http://en.wikipedia.org/wiki/Joseph_Marie_Terray	http://viaf.org/64147605/		Elite, Government	Legal		Male	French
terrasigis024286	Sigismondo Terraglio							Male	Italian
terry00000003292	Mr — Terry							Male	unknown
tessin0000024018	M. — Tessin					Legal		Male	French
teulon0000023086	M. — Teulon					Trade-merchant		Male	French
texadaugus000133	Augustin Louis Marie Texada, marquis de Ximénès			Letters_Literary		Artist, Cultural		Male	French
textod0000003293	D. Textor							Male	German
th00000000024421	M. — Th.							Male	unknown
thackthoma004334	Thomas Thackray							Male	English
thainthoma004929	Thomas Thain				Military	Trade-merchant, Finance-banking		Male	Scottish
thatcgeorg024873	George Thatcher	http://en.wikipedia.org/wiki/George_Thatcher	http://viaf.org/6590190/			Legal		Male	American
thatcsarah024804	Sarah Thatcher							Female	American
thellmarie023085	Marie Jeanne Thellusson					Finance-banking		Female	French
thellusson023084	Thellusson &amp; Necker					Finance-banking		Group	French
theodore00024847	Marie Madeleine de Crespé		http://viaf.org/49531338/			Artist		Female	French
therresse0024295	M. — Therresse					Legal		Male	French
therun0000003294	Nicolas Théru			Letters_Antiquarian				Male	French
thevehde00025660	H. de Thévenot			Sciences_Natural				Male	French
thevejean0023091	Jean Thévenin, marquis de Tanlay				Elite, Government	Legal		Male	French
