PeopleID	FullName	WikipediaURL	VIAFURL	KnowledgeNetwork	SocialNetwork	ProfessionalNetwork	ReligiousNetwork	Gender	Nationality
abarcpedro000018	Pedro Pablo Abarca y Bolea, conde de Aranda	http://en.wikipedia.org/wiki/Pedro_Pablo_Abarca_de_Bolea,_10th_Count_of_Aranda	http://viaf.org/32053659/		Military, Government			Male	Spanish
abauzfirmi000019	Firmin Abauzit	http://en.wikipedia.org/wiki/Firmin_Abauzit	http://viaf.org/24642440/	Letters_Religious, Letters_Antiquarian	Government			Male	French
abbotcharl000020	Charles Abbot, 1st Baron Colchester	http://en.wikipedia.org/wiki/Charles_Abbot,_1st_Baron_Colchester	http://viaf.org/13211719/		Government			Male	English
abbotjohnf003733	John Farr Abbot					Legal		Male	English
abbotmary0025055	Mrs Mary Abbot							Female	English
abeillouis000021	Louis Paul Abeille	http://en.wikipedia.org/wiki/Louis_Paul_Abeille	http://viaf.org/14779372/	Political economy, Political economy	Government			Male	French
abercdavid025563	David Abercromby	http://en.wikipedia.org/wiki/David_Abercromby	http://viaf.org/54480855/	Letters_Religious, Sciences		Medical	Catholic_Jesuit	Male	Scottish
abercjames004073	James Abercrombie		http://viaf.org/13690587/				Clergy	Male	American
abercjames004585	Colonel James Abercromby				Military			Male	Scottish
abercjames005754	James Abercromby, 1st Baron Dunfermline	http://en.wikipedia.org/wiki/James_Abercromby,_1st_Baron_Dunfermline	http://viaf.org/23688558/					Male	Scottish
aberdeento024385	Town Council of Aberdeen							Group	Scottish
aberdpresb024845	Presbytery of Aberdeen							Group	Scottish
abingfranc004074	Frances Abington	http://en.wikipedia.org/wiki/Frances_Abington	http://viaf.org/49153847/			Artist		Female	English
abosdantoi024215	Antoine Maximilien d'Abos de Binanville					Legal		Male	French
academiede000023	Académie de Lyon					Cultural		Group	French
academiede023844	Académie de Dijon					Cultural		Group	French
academiefr000024	Académie française					Cultural		Group	French
academiero000025	Académie royale d'Angers					Cultural		Group	French
acarqjeanp000796	Jean Pierre d'Açarq			Letters_Philosophical, Letters_Literary, Letters_Antiquarian				Male	French
acharantoi000028	Antoine Achard	http://en.wikipedia.org/wiki/Antoine_Achard	http://viaf.org/42148522/	Letters_Religious			Clergy	Male	Swiss
achesanne0005511	Lady Anne Acheson				Elite			Female	Irish
achesarchi024063	Archibald Acheson, 1st Viscount Gosford							Male	Irish
adairpatri025564	Rev. Patrick Adair			Letters_Literary			Protestant_Non-Anglican_Presbyterian	Male	Scottish
adairrober000030	Robert Adair					Medical		Male	Irish
adamantoi0000031	Antoine Adam					Academic	Clergy	Male	French
adamjames0003734	James Adam	http://en.wikipedia.org/wiki/James_Adam_(architect)	http://viaf.org/42634741/			Architecture		Male	Scottish
adamrober0003735	Robert Adam	http://en.wikipedia.org/wiki/Robert_Adam	http://viaf.org/59122607/			Architecture		Male	Scottish
adamsabiga000034	Abigail Adams	http://en.wikipedia.org/wiki/Abigail_Adams	http://viaf.org/32015075/					Female	American
adamsjohn0000035	John Adams	http://en.wikipedia.org/wiki/John_Adams	http://viaf.org/95296943/					Male	American
adamsjohnq003736	John Quincy Adams	http://en.wikipedia.org/wiki/John_Quincy_Adams	http://viaf.org/36980021/					Male	American
adamssamue000036	Samuel Adams	http://en.wikipedia.org/wiki/Samuel_Adams	http://viaf.org/73845465/					Male	American
adamsthoma024992	Thomas Adams		http://viaf.org/48156980/	Letters_Literary		Cultural, Publishing		Male	American
adamswilli003600	Rev. William Adams					Academic	Clergy	Male	English
adamswilli005755	William Adams			Letters_Antiquarian				Male	English
adamwilli0000033	William Adam	http://en.wikipedia.org/wiki/William_Adam_(MP)	http://viaf.org/45713784/			Legal		Male	Scottish
addinhenry000039	Henry Addington, 1st Viscount Sidmouth	http://en.wikipedia.org/wiki/Henry_Addington,_1st_Viscount_Sidmouth	http://viaf.org/45043508/		Elite, Government			Male	English
addinjohnh000040	John Hiley Addington							Male	English
addisedwar003601	Edward Addison					Domestic		Male	English
addisgulst024328	Gulston Addison							Male	English
addisjosep000041	Joseph Addison		http://viaf.org/7413288/	Letters_Literary	Government	Artist		Male	English
addislance003602	Lancelot Addison			Letters_Antiquarian		Academic		Male	English
addisleona000042	Leonard Addison					Legal		Male	English
addismary0003603	Mrs Mary Addison							Female	English
addistrust003723	trustees of Gulston Addison							Group	English
addiswilli005312	William Addison							Male	English
adhemalexa024140	Alexandre d'Adhémar de Monteil de Brunier, comte de Marsanne				Elite, Military, Court			Male	French
admirlords003675	Lords Commissioners of the Admiralty				Government			Group	English
adolpj0000024589	John Adolphus	http://en.wikipedia.org/wiki/John_Adolphus	http://viaf.org/5026911/	Letters_Literary		Legal		Male	English
adshepeter024403	Peter Adshead					Artisan		Male	English
advenjacqu024004	Jacques d'Advenel							Male	French
affrylouis002376	Louis Auguste Augustin d'Affry, comte d'Affry		http://viaf.org/187531692/		Military			Male	French
agayfranc0001614	François Marie Bruno d'Agay, comte de Mutigney			Letters_Literary		Legal		Male	French
aglanclaud023134	Claude Aglancier de Saint-Germain							Male	French
agliogeorg004536	George Aglionby			Letters_Literary		Artist	Clergy	Male	English
agliowilli004674	William Aglionby			Letters_Literary				Male	English
agricjohan025456	Johann Christian Agricola			Sciences_Natural		Medical		Male	German
aguilar000024694	Diego Pereira, baron d'Aguilar					Trade-merchant, Finance-banking		Male	Portuguese
aignafranc000048	Rev. François Aignan			Sciences_Natural		Medical	Clergy	Male	French
aigrecharl003334	Charles Michel Toussaint d'Aigrefeuille					Legal		Male	French
aikinjames005102	James Aikin					Artist		Male	Irish
aikmawilli004933	William Aikman of Cairnie					Artist		Male	Scottish
airygeorg0005736	Sir George Biddell Airy	http://en.wikipedia.org/wiki/George_Biddell_Airy	http://viaf.org/24591712/	Sciences_Mathematical				Male	English
aissecharl000017	Charlotte Elisabeth Aïssé		http://viaf.org/76366587/		Elite	Domestic		Female	Circassian
aitonjohn0003737	John Aiton					Gardening-farming, Domestic		Male	English
aitonwilli003738	William Townsend Aiton	http://en.wikipedia.org/wiki/William_Townsend_Aiton	http://viaf.org/44416060/			Gardening-farming		Male	English
akensmark0000049	Mark Akenside	http://en.wikipedia.org/wiki/Mark_Akenside	http://viaf.org/22217492/	Letters_Literary		Artist, Medical		Male	English
alamaandre000050	marchese Andrea Alamanni			Letters_Literary	Elite			Male	Italian
alarypierr000051	Pierre Joseph Alary			Letters	Government	Academic		Male	French
alberfranc000052	marchese Francesco Albergati Capacelli		http://viaf.org/24658555/	Letters_Literary	Elite, Government	Cultural		Male	Italian
albergiuli000053	Cardinal Giulio Alberoni	http://en.wikipedia.org/wiki/Giulio_Alberoni	http://viaf.org/59073194/		Elite, Government		Clergy	Male	Italian
alcocedwar024578	Edward Alcock					Artist		Male	English
aldencharl002685	Charlotte Sophia van Aldenburg, countess of Bentinck			Letters_Literary				Female	Dutch
alderchris004356	Rev. Christopher Alderson						Clergy	Male	English
aleaume000004675	— Aleaume							Male	unknown
alexaalexa004404	Alexander John Alexander					Trade-merchant		Male	Scottish
alexabethi004405	Bethia Alexander					Finance-banking		Female	Scottish
alexachris004406	Christine Alexander					Finance-banking		Female	Scottish
alexaisabe004407	Isabella Alexander					Trade-merchant		Female	American
alexaja000003739	J. A. Alexander					Legal		Male	English
alexajames003740	James Wadman Alexander			Letters_Antiquarian				Male	English
alexajane0004408	Jane Alexander					Finance-banking		Female	Scottish
alexajohn0000059	John Alexander				Elite	Legal		Male	English
alexanderi000058	Alexander I, czar of Russia							Male	Russian
alexandero024531	Claud Alexander of Ballochmyle					Trade-merchant		Male	Scottish
alexawilli000061	William Alexander				Government	Finance-banking		Male	Scottish
alforanne0004677	Lady Anne Alford							Female	English
alforjohn0004676	John Alford							Male	English
algarbonom000062	conte Bonomo Algarotti		http://viaf.org/170569849/	Collector		Trade-merchant		Male	Italian
algarfranc000063	conte Francesco Algarotti	http://en.wikipedia.org/wiki/Francesco_Algarotti	http://viaf.org/68955699/	Letters_Literary, Sciences				Male	Italian
aligretien004427	Étienne François d'Aligre, marquis d'Aligre		http://viaf.org/227390148/			Legal		Male	French
alisoarchi000064	Archibald Alison	http://en.wikipedia.org/wiki/Archibald_Alison_(author)	http://viaf.org/14846310/	Letters_Literary			Clergy	Male	Scottish
alissmarie022984	Marie Anne Alissan de La Tour		http://viaf.org/39518723/					Female	French
allamfranc000066	François Louis Allamand		http://viaf.org/73874693/	Letters_Antiquarian		Academic		Male	Swiss
allamjeann000067	Jean Nicolas Sébastien Allamand	http://en.wikipedia.org/wiki/Jean-Nicolas-Sébastien_Allamand	http://viaf.org/66377611/	Sciences_Mathematical, Sciences_Natural, Sciences				Male	Swiss
allard0000023766	Mlle — Allard							Female	French
allard0000024229	vicomtesse d'Allard							Female	French
allemfrede001608	Friedrich Samuel Alleman, count Montmartin				Elite, Court, Government			Male	German
allenjerem024967	Jeremiah Allen					Trade-merchant		Male	American
allenralph005078	Ralph Allen		http://viaf.org/140633726/		Elite, Government	Trade-merchant		Male	English
allenwilli003741	William Allen		http://viaf.org/17268394/	Sciences	Elite			Male	English
allesjames004679	James Allestry		http://viaf.org/78662276/			Publishing		Male	English
alleswilli004678	William Allestree							Male	English
alleyjohn0025566	John Alleyn					Legal		Male	English
alliofranc000068	François Antoine Pierre Alliot				Court, Government			Male	French
allisaac00024647	Isaac All					Maritime		Male	American
allonantoi023754	Antoine Charles Augustin d'Allonville				Court, Military			Male	French
allonarman024310	comte Armand François d'Allonville			Letters_Literary		Cultural		Male	French
almanza000003629	— de Almanza							Male	Spanish
almonmaria005103	Maria Almon			Letters_Literary				Female	English
altunmanue002877	Don Manuel Ignacio de Altuna y Portu				Government	Legal		Male	Spanish
alvarez000025752	— Alvarez							Male	French
amarzjeanb000840	Jean Baptiste Joseph Damarzit de Sahuguet, baron d'Espagnac		http://viaf.org/7601633/	Letters_Literary	Military			Male	French
ameloantoi000071	Antoine Jean Amelot de Chaillou, marquis de Combrande			Letters	Elite, Government			Male	French
amelojeanj000072	Jean Jacques Amelot de Chaillou	http://en.wikipedia.org/wiki/Jean-Jacques_Amelot_de_Chaillou	http://viaf.org/41830807/		Elite, Government			Male	French
amesfishe0024866	Fisher Ames	http://en.wikipedia.org/wiki/Fisher_Ames	http://viaf.org/1142398/	Letters_Literary	Government	Legal		Male	American
ameyrober0024363	Robert Amey					Publishing		Male	English
amfryguill000953	Guillaume Amfrye de Chaulieu	http://en.wikipedia.org/wiki/Guillaume_Amfrye_de_Chaulieu	http://viaf.org/27174209/	Letters_Literary	Court	Artist		Male	French
amman00000024758	Sgr — Amman				Government			Male	italian
ammonchris003464	Christoph Heinrich von Ammon				Elite, Government			Male	German
amstemunic024394	municipalité d'Amsterdam							Group	Dutch
ancelmiche023753	Michel Marie Ancelet				Military			Male	French
ancian0000024759	abbé — Ancian						Clergy	Male	French
anderaw000025598	Rev. A. W. Anderson						Clergy	Male	Scottish
andergeorg004680	George Anderson					Academic		Male	Scottish
anderjames000078	James Anderson	http://en.wikipedia.org/wiki/James_Anderson_(botanist)	http://viaf.org/77099040/	Letters_Antiquarian, Political economy, Sciences_Natural		Gardening-farming		Male	Scottish
anderjames024288	James Anderson	http://en.wikipedia.org/wiki/James_Anderson_(lawyer)	http://viaf.org/66495584/					Male	Scottish
anderjames024358	James Anderson, Junior							Male	Scottish
anderjohn0000079	John Anderson	http://en.wikipedia.org/wiki/John_H._D._Anderson	http://viaf.org/32795252/	Sciences_Mathematical, Sciences				Male	Scottish
anderjohnw000080	Sir John William Anderson, baronet							Male	Scottish
anderwilli025677	William Anderson					Trade-merchant		Male	Scottish
andreandre023750	André Joseph d'Andréa, seigneur de Châteaudouble							Male	French
andreantoi023751	Antoine Balthasar Joseph d'André		http://viaf.org/32126767/	Political economy	Government			Male	French
andrerober024648	Robert Andrews				Government	Academic	Clergy	Male	American
andrijeanh023749	Jean Henri Andrié, vicomte de Gorgier			Letters_Literary	Court			Male	Swiss
angeleliza005104	Elizabeth Angelo							Female	Irish
anglilaure001031	Laurent Angliviel de La Beaumelle		http://viaf.org/66520225/	Letters, Letters_Literary, Political economy			Protestant_Non-Anglican_Calvinist	Male	French
angradenis023747	Denis François Angran d'Alleray		http://viaf.org/4833695/		Government	Legal		Male	French
anissjacqu000088	Jacques Anisson-Duperron				Government	Publishing		Male	French
ankerpeter000089	Peter Anker		http://viaf.org/44237390/	Collector	Government	Artist		Male	Norwegian
annequeeno000093	Anne, queen of Great Britain and Ireland							Female	English
annesarthu005598	Arthur Annesley, 5th earl of Anglesey				Elite, Government			Male	English
annesarthu025248	Arthur Annesley, 1st earl of Anglesey	http://en.wikipedia.org/wiki/Arthur_Annesley,_1st_Earl_of_Anglesey	http://viaf.org/74638660/		Government			Male	Irish
annet00000023973	M. — Annet					Legal		Male	French
anonymous0024212	[anonymous]							Male	unknown
anselm0000025498	— Anselm							Male	unknown
ansonthoma005105	Thomas Anson, Viscount Anson of Shugborough							Male	English
anstechris004357	Christopher Anstey	http://en.wikipedia.org/wiki/Christopher_Anstey	http://viaf.org/39731521/	Letters_Literary		Artist		Male	English
anstijohn0004378	John Anstis	http://en.wikipedia.org/wiki/John_Anstis	http://viaf.org/6352962/	Letters_Antiquarian	Government			Male	English
anthojosep024888	Joseph Anthony					Artisan		Male	American
antoifr000025732	Fr Antoine						Clergy	Male	French
antrapierr024290	Pierre Antoine Emmanuel Jules d'Antraigues							Male	French
antroeliza024339	Elizabeth Antrobus							Female	English
antromary0004358	Mary Antrobus							Female	English
appeacommi004831	Commissioners of Appeals in Excise							Group	English
appiamadel025064	Madeleine Appia					Publishing		Female	Swiss
applenatha024649	Nathaniel Appleton		http://viaf.org/57997116/			Trade-merchant		Male	American
aquinpierr023745	Pierre Louis d'Aquin de Château-Lyon			Letters_Literary		Cultural		Male	French
arbutcharl003743	Charles Arbuthnot	http://en.wikipedia.org/wiki/Charles_Arbuthnot	http://viaf.org/30347847/					Male	English
arbutgeorg004934	George Arbuthnot							Male	English
arbutjohn0000097	John Arbuthnot	http://en.wikipedia.org/wiki/John_Arbuthnot	http://viaf.org/51684915/	Letters_Literary		Medical		Male	Scottish
arbutrober000098	Robert Arbuthnot				Government	Trade-merchant, Finance-banking		Male	Scottish
archialber024098	Cardinal Alberico Archinto						Clergy	Male	Italian
arckejohan000100	Johan Arckenholtz		http://viaf.org/76620252/	Letters_Literary, Political economy	Government			Male	Finnish
argamfeodo023814	Feodosiia Ivanovna Argamakova							Female	Russian
arganjacqu023744	Jacques Argand					Artisan		Male	Swiss
argotjacqu024360	Jacques Fabien Gautier d'Argoty					Artist		Male	French
argueagust003818	Agustín Argüelles	http://en.wikipedia.org/wiki/Agustín_Argüelles	http://viaf.org/66521272/		Government			Male	Spanish
arksthansc023292	Hans Caspar Arkstée					Publishing		Male	Dutch
armetnicol023975	Nicolas Armet					Legal		Male	French
armfegusta024524	Greve Gustaf Mauritz Armfelt				Court, Military, Government			Male	Finnish
armstjohn0024650	John Armstrong, Jr		http://viaf.org/65181294/					Male	American
arnal00000023767	Mme — Arnal							Female	French
arnauantoi000107	Antoine Arnauld	http://en.wikipedia.org/wiki/Antoine_Arnauld	http://viaf.org/66462846/	Letters_Philosophical, Letters_Religious				Male	French
arnauantoi024216	Antoine Vincent Arnault	http://en.wikipedia.org/wiki/Antoine-Vincent_Arnault	http://viaf.org/5029448/	Letters_Literary		Cultural		Male	French
arnaufranc000106	François Arnaud	http://en.wikipedia.org/wiki/François_Arnaud_(ecclesiastic)	http://viaf.org/66513672/	Letters_Literary, Letters		Cultural	Clergy	Male	French
arnaugabri023743	Gabriel Arnauld				Government		Clergy	Male	French
arnayjeanr000803	Jean Rodolphe d'Arnay		http://viaf.org/51540139/	Letters_Literary		Academic		Male	Swiss
arnimabrah023768	Abraham Georg von Arnim							Male	German
arnolsamue005106	Samuel James Arnold	http://en.wikipedia.org/wiki/Samuel_James_Arnold	http://viaf.org/29921604/	Letters_Literary		Cultural		Male	English
arnolwelco024651	Welcome Arnold					Trade-merchant		Male	American
arnoujeanm000110	Jean Marie Arnoult					Academic, Legal		Male	French
arouearman000112	Armand Arouet			Letters_Philosophical, Letters_Literary		Legal		Male	French
arouefranc000113								Male	
arouefranc022966	François Arouet				Government	Legal		Male	French
arqueoffic024851	officiers de l'Arquebuse							Group	Swiss
arsanmadel000804	Madeleine d'Arsant de Puisieux	http://en.wikipedia.org/wiki/Madeleine_de_Puisieux	http://viaf.org/73889178/	Letters_Literary				Female	French
arthuarchi000115	Archibald Arthur	http://en.wikipedia.org/wiki/Archibald_Arthur	http://viaf.org/215216428/	Letters_Philosophical				Male	Scottish
ashbujohn0000116	John Ashburnham, 1st earl of Ashburnham				Military, Court, Government			Male	English
ashbygeorg024480	George Ashby	http://en.wikipedia.org/wiki/George_Ashby_(antiquary)	http://viaf.org/67910636/	Letters_Antiquarian		Academic		Male	English
ashejames0004935	Sir James Ashe, 2nd baronet							Male	English
ashestgeo0005457	St George Ashe, bishop of Derry		http://viaf.org/261055220/				Clergy	Male	Irish
ashjohn000024267	John Ash					Medical		Male	English
ashledorot004683	Dorothy Ashley, countess of Shaftesbury							Female	English
ashtothoma004359	Thomas Ashton			Letters_Religious			Clergy	Male	English
ashtowilli025615	William Ashton							Male	English
ashurhenry025338	Henry Ashurst					Trade-merchant		Male	English
ashurhenry025467	Sir Henry Ashurst		http://viaf.org/44147865/			Trade-merchant		Male	English
asselgille000118	Gilles Thomas Asselin			Letters_Literary		Artist, Academic		Male	French
assembleen023827	Assemblée nationale				Government			Group	French
asteljames025352	James Astell			Sciences_Natural				Male	English
asterthe00025500	the Asterism							Group	international
astiehyaci023740	Hyacinthe Antoine d'Astier, seigneur de Cromessière							Male	French
astledanie004075	Daniel Astle						Clergy	Male	English
astonfranc004379	Francis Aston							Male	English
astrujeanf000121	Jean François Antoine Astruc					Legal		Male	French
athenianso005586	Athenian Society					Cultural		Group	English
atkinfranc004684	Francis Atkins							Male	English?
atkinjohn0024395	John Atkinson					Publishing		Male	English
atkins0000024743	Mrs — Atkins					Artist		Female	English
atterfranc000123	Francis Atterbury, bishop of Rochester	http://en.wikipedia.org/wiki/Francis_Atterbury	http://viaf.org/42631395/				Clergy	Male	English
atwood0000003749	Mr — Atwood							Male	English
auberjeanl000124	Jean Louis Aubert		http://viaf.org/59116590/	Letters_Literary		Artist, Cultural		Male	French
aubert0000024217	M. — Aubert							Male	French
aubertdebe000125	M. B. Beauchamp					Artist		Female	French
auboin0000023805	M. — Auboin					Trade-merchant		Male	Swiss
aubonlouis000805	Louise Honorée Françoise d'Aubonne					Artist		Female	Swiss
aubrejohn0000127	John Aubrey	http://en.wikipedia.org/wiki/John_Aubrey	http://viaf.org/71386625/	Letters_Antiquarian				Male	English
aubrycharl000128	Charles Louis Aubry		http://viaf.org/24654850/	Letters_Literary, Political economy		Trade-merchant, Other, Publishing		Male	French
aubuslouis000806	Louis d'Aubusson, duc de La Feuillade				Military, Government			Male	French
audibdomin000130	Dominique Audibert					Trade-merchant		Male	French
audlejohn0024510	John Audley					Legal		Male	English
audoyantoi023738	Antoine Audoyer					Artisan, Academic		Male	Swiss
audrajosep000131	Joseph Audra			Letters_Literary		Academic		Male	French
auge000000025753	— Augé							Male	French
augetantoi000132	Antoine Jean Baptiste Robert Auget, baron de Montyon		http://viaf.org/76310541/					Male	French
aunetlouis000136	Louis Benjamin Annet de Perry, marquis de Perry			Letters_Literary, Collector	Military, Elite			Male	French
austeann00017222	Lady Ann Austen				Elite			Female	English
austeralph025271	Ralph Austen		http://viaf.org/122064958/	Letters_Literary		Gardening-farming	Clergy	Male	English
austesteph025004	Stephen Austen		http://viaf.org/245051739/			Publishing		Male	English
austijohn0003751	John Austin	http://en.wikipedia.org/wiki/John_Austin_(legal_philosopher)	http://viaf.org/44360401/	Letters_Literary		Legal, Academic		Male	English
austisarah003752	Sarah Austin	http://en.wikipedia.org/wiki/Sarah_Austin_(author)	http://viaf.org/59830344/	Letters_Literary				Female	English
austrmaria002687	Maria Antonia Symphorosa, electress of Saxony				Elite, Government	Artist		Female	German
auteursetb024764	auteurs et beaux-esprits							Group	French
auvry00000024643	Citoyenne — Auvry							Female	French?
auziegeorg000137	Georges Auzière					Artisan		Male	Swiss
averyjohn0024652	John Avery, Jr					Trade-merchant		Male	American
averyjonat025567	Dr Jonathan Avery			Sciences_Natural		Medical		Male	American
averyrober025568	Robert Avery							Male	American
averywilli025469	Dr William Avery					Medical		Male	American
avissjean0023985	Jean Avisse	http://en.wikipedia.org/wiki/Jean_Avisse	http://viaf.org/95864894/			Artisan		Male	French
aynsteliza005314	Elizabeth Aynston					Artisan		Female	English
aynstwilli005315	William Aynston					Artisan, Trade-merchant		Male	English
babaupompo023046	Pierre Marie Pomponne Babaud de La Chaussade de Villemenant							Male	French
babbacharl005697	Charles Babbage	http://en.wikipedia.org/wiki/Charles_Babbage	http://viaf.org/4963723/	Sciences_Mathematical				Male	English
babeufranc000152	François Noël Babeuf	http://en.wikipedia.org/wiki/François-Noël_Babeuf	http://viaf.org/59078391/	Political economy	Government			Male	French
bachejeanj000157	Jean Jacques Bachelier		http://viaf.org/12416012/			Artist		Male	French
bachesarah004410	Sarah Bache				Elite			Female	American
baconjeanb000159	Jean Baptiste Pierre Bacon					Academic, Legal		Male	French
baconjohn0017207	John Bacon	http://en.wikipedia.org/wiki/John_Bacon_(sculptor)	http://viaf.org/26726540/		Government	Artist	Clergy	Male	English
baconjohn0024883	John Bacon	http://en.wikipedia.org/wiki/John_Bacon_(Massachusetts)	http://viaf.org/29963017/					Male	American
bacqgourd0001780	— Gourdon de Bacq			Letters_Literary				Male	French
baculfranc000871	François Thomas Marie de Baculard d'Arnaud	http://en.wikipedia.org/wiki/François-Thomas-Marie_de_Baculard_d'Arnaud	http://viaf.org/95165197/	Letters_Literary		Artist, Cultural		Male	French
bagarcharl024176	Charles Bagard		http://viaf.org/40724265/	Letters_Literary, Sciences_Medical		Medical		Male	French
bagiejacqu000162	Jacques Bagieu			Sciences_Medicine	Military	Medical		Male	French
bagnegibbo024269	Rev. Gibbons Bagnall			Letters_Literary		Artist	Clergy	Male	English
bagotwalte017242	Walter Bagot			Letters_Literary	Elite			Male	English
bagotwilli000163	William Bagot, 1st Baron Bagot							Male	English
bagshedwar004537	Edward Bagshaw					Academic	Clergy	Male	English
baguegabri023736	Gabriel Bagueret							Male	Swiss
baillagnes003753	Agnes Baillie							Female	English
baillbaill024765	baillis of French speaking bailliages of Berne				Government			Group	Swiss
baillfranc000169	Françoise Baillif Du Pont							Female	French
bailljames000166	James Baillie			Letters_Religious			Clergy	Male	Scottish
bailljeanb023735	Jean Baptiste Alexandre de Baillon							Male	French
bailljeans000170	Jean Sylvain Bailly	http://en.wikipedia.org/wiki/Jean_Sylvain_Bailly	http://viaf.org/27174087/	Letters_Literary, Sciences_Mathematical, Political economy				Male	French
bailljoann000167	Joanna Baillie	http://en.wikipedia.org/wiki/Joanna_Baillie	http://viaf.org/56750310/	Letters_Literary		Artist, Cultural		Female	Scottish
bailllouis024183	Louis Guillaume Baillet, baron de Saint-Julien			Letters_Literary		Artist		Male	French
baillmatth000168	Matthew Baillie	http://en.wikipedia.org/wiki/Matthew_Baillie	http://viaf.org/47543063/	Sciences_Medicine, Sciences				Male	Scottish
bailyfranc005737	Francis Baily	http://en.wikipedia.org/wiki/Francis_Baily	http://viaf.org/37072338/	Sciences_Mathematical		Finance-banking		Male	English
bainacharl000872	Charles François de Baynast, marquis de Septfontaines							Male	French
bainandre0005108	Andrew Bain					Medical		Male	English
bainedavid024923	David L. Baines							Male	American
bairdgeorg000171	George Baird							Male	Scottish
bairdjohn0025678	Rev. John Baird						Clergy	Male	Scottish
bakerhenry004229	Henry Baker	http://en.wikipedia.org/wiki/Henry_Baker_(naturalist)	http://viaf.org/20018411/	Letters_Literary, Sciences		Cultural		Male	English
bakersophi004230	Mrs Sophia Baker			Sciences				Female	English
balbelouis000873	Louis Athanase Boniface Des Balbes de Berton de Crillon			Letters_Literary				Male	French
balbilouis000888	Louis François Félix Dorothée Des Balbes de Berton, comte de Crillon			Political economy	Military, Elite, Government			Male	French
balbisylvi000172	Silvio Saverio Balbis		http://viaf.org/174364983/	Letters_Literary		Artist		Male	Italian
baldwabrah024848	Abraham Baldwin	http://en.wikipedia.org/wiki/Abraham_Baldwin	http://viaf.org/8798487/		Military, Government		Clergy	Male	American
baldwhenry023734	Henry Baldwin		http://viaf.org/24455888/	Letters_Literary		Cultural		Male	English
baldwjohn0005612	John Baldwin, mayor of Cork				Elite, Government			Male	Irish
baldwsimeo024576	Simeon Baldwin	http://en.wikipedia.org/wiki/Simeon_Baldwin	http://viaf.org/13703266/	Letters_Literary		Legal		Male	American
baldwwilli000173	William Baldwin				Government			Male	English
balfojames004656	James Balfour	http://en.wikipedia.org/wiki/James_Balfour_(philosopher)	http://viaf.org/13374132/	Letters_Philosophical				Male	Scottish
balgucharl004286	Charles Balguy	http://en.wikipedia.org/wiki/Charles_Balguy	http://viaf.org/93329273/			Medical		Male	English
ballarober024653	Robert Ballard					Other		Male	American
ballejacqu023732	Jacques Ballexserd		http://viaf.org/30587327/	Letters_Literary				Male	Swiss
ballejeanb023733	Jean Baptiste Ballet							Male	French
ballejosep000175	Joseph Marie Balleydier				Government	Legal		Male	French
ballicharl023731	Charles Louis Denis Ballière de Laisement		http://viaf.org/74080398/	Letters_Literary		Cultural		Male	French
balliparis025597	Parish of Ballingary							Group	Irish
ballosylva024021	Sylvain Ballot					Legal		Male	French
ballroger0025277	Roger Ball							Male	English
ballsharri017201	Harriot Balls					Gardening-farming		Female	English
ballyjeanh024502	Jean Henri Bally					Domestic		Male	French
bamptjames025470	Rev. James Bampton						Clergy	Male	English
bancajeanh024294	Jean Henri Bancal Desissarts		http://viaf.org/17611297/	Letters_Literary, Political economy	Government			Male	French
bangsedwar024924	Edward Bangs		http://viaf.org/243512583/		Government	Legal		Male	American
banksjohn0004685	Sir John Banks					Trade-merchant		Male	English
banksjosep000179	Sir Joseph Banks, baronet			Sciences_Natural, Sciences	Elite			Male	English
bannijohn0024590	John Bannister	http://en.wikipedia.org/wiki/John_Bannister_(actor)	http://viaf.org/40544202/			Artist		Male	English
banquetmal023772	Messieurs Banquet, Mallet &amp; Pache					Finance-banking		Group	Swiss
barabandre000180	André Jacques Baraban							Male	Swiss
barbedomin000182	Dominique Jacques Barberie, marquis de Courteille				Elite, Government			Male	French
barbeedwar025353	Edward Barber		http://viaf.org/93581049/			Trade-merchant		Male	English
barbefranc000183	François Dominique Barberie, marquis de Saint-Contest				Elite, Government			Male	French
barbefranc004077	Francis Barber					Domestic		Male	Jamaican
barbefranc025663	Cardinal Francesco Barberini	http://en.wikipedia.org/wiki/Francesco_Barberini_(1597–1679)	http://viaf.org/49275800/		Elite, Government		Clergy	Male	Italian
barbejean0000185	Jean Barbeyrac	http://en.wikipedia.org/wiki/Jean_Barbeyrac	http://viaf.org/36929049/	Letters_Literary		Legal		Male	French
barbejohn0004936	John Barber		http://viaf.org/42638887/		Government	Publishing		Male	English
barber0000005537	Mrs Mary Barber	http://en.wikipedia.org/wiki/Mary_Barber	http://viaf.org/51543354/	Letters_Literary		Artist		Female	Irish
barbijeanp023730	Jean Pierre Barbier de Neuville				Government			Male	French
barbolouis000187	Louis Jules Barbon Mancini-Mazarini, duc de Nivernais			Letters_Literary	Elite, Government			Male	French
barclrober000189	Sir Robert Barclay, 8th baronet Barclay of Pierston							Male	English
bardejeanp023728	Jean Paul Barde		http://viaf.org/99433703/			Publishing		Male	Swiss
bardemange023729	Barde, Manget &amp; Cie					Publishing		Group	Swiss
bardiisaac000191	Isaac Bardin		http://viaf.org/207040271/			Publishing		Male	Swiss
bardisusan000192	Susanna Maria Bardin-Haller					Publishing		Female	Swiss
